Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0088939,2021-04-08,2021-04-08,,"The Color Purple","The Color Purple",https://www.imdb.com/title/tt0088939/,Movie,7.7,154,1985,"Drama",105145,1986-02-07,"Steven Spielberg",,
2,tt0091306,2021-04-08,2021-04-08,,"Jumpin' Jack Flash","Jumpin' Jack Flash",https://www.imdb.com/title/tt0091306/,Movie,6.0,105,1986,"Comedy, Romance, Thriller",21960,1986-10-10,"Penny Marshall",,
3,tt2319739,2021-04-17,2021-04-17,,"41","41",https://www.imdb.com/title/tt2319739/,Movie,6.2,80,2012,"Drama, Sci-Fi",2866,2015-07-21,"Glenn Triggs",,
4,tt1743922,2021-04-17,2021-04-17,,"Donovan's Echo","Donovan's Echo",https://www.imdb.com/title/tt1743922/,Movie,6.2,91,2011,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",2252,2012-02-15,"Jim Cliffe",,
5,tt7293920,2021-04-17,2021-04-17,,"The Fare","The Fare",https://www.imdb.com/title/tt7293920/,Movie,6.3,82,2018,"Fantasy, Mystery, Romance, Thriller",4344,2019-11-12,"D.C. Hamilton",,
6,tt3235888,2021-04-26,2021-04-26,,"It Follows","It Follows",https://www.imdb.com/title/tt3235888/,Movie,6.8,100,2014,"Horror, Mystery, Thriller",303222,2015-03-13,"David Robert Mitchell",,
7,tt5715874,2021-05-07,2021-05-07,,"The Killing of a Sacred Deer","The Killing of a Sacred Deer",https://www.imdb.com/title/tt5715874/,Movie,7.0,121,2017,"Drama, Horror, Mystery, Thriller",218028,2017-11-03,"Yorgos Lanthimos",,
8,tt3464902,2021-05-07,2021-05-07,,"The Lobster","The Lobster",https://www.imdb.com/title/tt3464902/,Movie,7.1,119,2015,"Drama, Romance, Sci-Fi, Thriller",337202,2015-10-16,"Yorgos Lanthimos",,
9,tt5104604,2021-06-09,2021-06-09,,"Isle of Dogs","Isle of Dogs",https://www.imdb.com/title/tt5104604/,Movie,7.8,101,2018,"Animation, Adventure, Comedy, Drama, Fantasy, Sci-Fi",213886,2018-04-13,"Wes Anderson",,
10,tt11003218,2021-12-10,2021-12-10,,"Pig","Pig",https://www.imdb.com/title/tt11003218/,Movie,6.9,92,2021,"Drama, Mystery",106399,2021-07-16,"Michael Sarnoski",,
11,tt9731534,2021-12-10,2021-12-10,,"The Night House","The Night House",https://www.imdb.com/title/tt9731534/,Movie,6.4,107,2020,"Horror, Mystery, Thriller",79319,2021-08-20,"David Bruckner",,
12,tt8772262,2021-12-10,2021-12-10,,"Midsommar","Midsommar",https://www.imdb.com/title/tt8772262/,Movie,7.1,148,2019,"Drama, Horror, Mystery, Thriller",495021,2019-07-03,"Ari Aster",,
13,tt17003896,2022-01-16,2022-01-16,,"A Jaula","A Jaula",https://www.imdb.com/title/tt17003896/,Movie,6.2,83,2022,"Crime, Thriller",599,2022-02-17,"João Wainer",,
14,tt13403046,2022-06-14,2022-06-14,,"Fresh","Fresh",https://www.imdb.com/title/tt13403046/,Movie,6.7,114,2022,"Comedy, Horror, Romance, Thriller",94819,2022-03-04,"Mimi Cave",,
15,tt14549466,2022-06-14,2022-06-14,,"Crimes of the Future","Crimes of the Future",https://www.imdb.com/title/tt14549466/,Movie,5.8,107,2022,"Drama, Horror, Sci-Fi, Thriller",47463,2022-05-25,"David Cronenberg",,
16,tt0098692,2022-06-15,2022-06-15,,"Wicked City","Yôjû toshi",https://www.imdb.com/title/tt0098692/,Movie,6.7,82,1987,"Animation, Action, Fantasy, Horror, Sci-Fi, Thriller",12021,1993-08-20,"Yoshiaki Kawajiri",,
17,tt0808506,2022-06-15,2022-06-15,,"The Girl Who Leapt Through Time","Toki o kakeru shôjo",https://www.imdb.com/title/tt0808506/,Movie,7.6,98,2006,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Mystery, Romance, Sci-Fi",76526,2006-07-15,"Mamoru Hosoda",,
18,tt1474276,2022-06-15,2022-06-15,,"Summer Wars","Samâ wôzu",https://www.imdb.com/title/tt1474276/,Movie,7.4,114,2009,"Animation, Action, Adventure, Comedy, Drama, Romance, Sci-Fi",34422,2009-08-01,"Mamoru Hosoda",,
19,tt14331144,2022-06-15,2022-06-15,,"Jujutsu Kaisen 0","Gekijô-ban Jujutsu Kaisen Zero",https://www.imdb.com/title/tt14331144/,Movie,7.8,112,2021,"Animation, Action, Fantasy",66126,2022-03-18,"Sunghoo Park",,
20,tt15791034,2022-11-02,2022-11-02,,"Barbarian","Barbarian",https://www.imdb.com/title/tt15791034/,Movie,7.0,102,2022,"Horror, Mystery, Thriller",268549,2022-09-09,"Zach Cregger",,
21,tt11685912,2022-11-29,2022-11-29,,"Outer Range","Outer Range",https://www.imdb.com/title/tt11685912/,TV Series,7.1,60,2022,"Drama, Mystery, Thriller",46908,2022-04-15,,,
22,tt4263482,2023-01-23,2023-01-23,,"The Witch","The VVitch: A New-England Folktale",https://www.imdb.com/title/tt4263482/,Movie,7.0,92,2015,"Drama, Fantasy, Horror, Mystery, Thriller",358075,2016-02-19,"Robert Eggers",,
23,tt8574252,2023-01-23,2023-01-23,,"The Witch: Part 1 - The Subversion","Manyeo",https://www.imdb.com/title/tt8574252/,Movie,7.2,125,2018,"Action, Mystery, Sci-Fi",23128,2020-03-10,"Park Hoon-jung",,
24,tt14531382,2023-01-23,2023-01-23,,"Salaryman","Salaryman",https://www.imdb.com/title/tt14531382/,Movie,7.0,80,2021,"Documentary, Drama",283,2021,"Allegra Pacheco",,
25,tt0129332,2023-02-05,2023-02-05,,"Ravenous","Ravenous",https://www.imdb.com/title/tt0129332/,Movie,6.9,101,1999,"Adventure, Drama, Horror, Western",46953,1999-03-19,"Antonia Bird",,
26,tt6087226,2023-02-12,2023-02-12,,"Coma","Koma",https://www.imdb.com/title/tt6087226/,Movie,6.3,111,2019,"Action, Adventure, Mystery, Sci-Fi",13166,2020-07-15,"Nikita Argunov",,
27,tt0113409,2023-03-25,2023-03-25,,"In the Mouth of Madness","In the Mouth of Madness",https://www.imdb.com/title/tt0113409/,Movie,7.1,95,1994,"Drama, Fantasy, Horror, Mystery, Thriller",91209,1995-02-03,"John Carpenter",,
28,tt0099810,2023-03-29,2023-03-29,,"The Hunt for Red October","The Hunt for Red October",https://www.imdb.com/title/tt0099810/,Movie,7.5,135,1990,"Action, Adventure, Thriller",233401,1990-03-02,"John McTiernan",,
29,tt0082096,2023-03-29,2023-03-29,,"Das Boot","Das Boot",https://www.imdb.com/title/tt0082096/,Movie,8.3,149,1981,"Drama, War",289972,1982-02-10,"Wolfgang Petersen",,
30,tt12923632,2023-03-30,2023-03-30,,"Dead Ringers","Dead Ringers",https://www.imdb.com/title/tt12923632/,TV Series,6.4,60,2023,"Drama, Horror, Thriller",9448,2023-04-21,,,
31,tt3409440,2023-04-08,2023-04-08,,"The Surprise","De surprise",https://www.imdb.com/title/tt3409440/,Movie,6.7,102,2015,"Comedy, Romance",4785,2015-05-21,"Mike van Diem",,
32,tt19853258,2023-04-10,2023-04-10,,"Still: A Michael J. Fox Movie","Still",https://www.imdb.com/title/tt19853258/,Movie,8.1,95,2023,"Documentary, Biography",18206,2023-05-12,"Davis Guggenheim",,
33,tt19896150,2023-04-22,2023-04-22,,"The Angry Black Girl and Her Monster","The Angry Black Girl and Her Monster",https://www.imdb.com/title/tt19896150/,Movie,5.3,91,2023,"Drama, Fantasy, Horror",2630,2023-06-23,"Bomani J. Story",,
34,tt10638522,2023-05-01,2023-05-01,,"Talk to Me","Talk to Me",https://www.imdb.com/title/tt10638522/,Movie,7.1,95,2022,"Horror, Thriller",223192,2023-07-28,"Danny Philippou, Michael Philippou",,
35,tt2106476,2023-05-10,2023-05-10,,"The Hunt","Jagten",https://www.imdb.com/title/tt2106476/,Movie,8.3,115,2012,"Drama",416325,2012-11-14,"Thomas Vinterberg",,
36,tt0073802,2023-05-17,2023-05-17,,"Three Days of the Condor","Three Days of the Condor",https://www.imdb.com/title/tt0073802/,Movie,7.4,117,1975,"Crime, Mystery, Thriller",69846,1975-09-25,"Sydney Pollack",,
37,tt14688458,2023-05-20,2023-05-20,,"Silo","Silo",https://www.imdb.com/title/tt14688458/,TV Series,8.1,49,2023,"Adventure, Drama, Mystery, Sci-Fi",228798,2023-05-05,,,
38,tt3420504,2023-06-02,2023-06-02,,"Finch","Finch",https://www.imdb.com/title/tt3420504/,Movie,6.9,115,2021,"Adventure, Drama, Sci-Fi",113322,2021-11-05,"Miguel Sapochnik",,
39,tt14230458,2023-06-03,2023-06-03,,"Poor Things","Poor Things",https://www.imdb.com/title/tt14230458/,Movie,7.7,141,2023,"Comedy, Drama, Romance, Sci-Fi",421052,2023-12-22,"Yorgos Lanthimos",,
40,tt0093779,2023-06-14,2023-06-14,,"The Princess Bride","The Princess Bride",https://www.imdb.com/title/tt0093779/,Movie,8.0,98,1987,"Adventure, Comedy, Family, Fantasy, Romance",489860,1987-10-09,"Rob Reiner",,
41,tt2390361,2023-06-30,2023-06-30,,"Enough Said","Enough Said",https://www.imdb.com/title/tt2390361/,Movie,7.0,93,2013,"Comedy, Drama, Romance",70618,2013-10-11,"Nicole Holofcener",,
42,tt15771916,2023-06-30,2023-06-30,,"You Hurt My Feelings","You Hurt My Feelings",https://www.imdb.com/title/tt15771916/,Movie,6.5,93,2023,"Comedy, Drama, Romance",17727,2024-01-26,"Nicole Holofcener",,
43,tt0088680,2023-07-19,2023-07-19,,"After Hours","After Hours",https://www.imdb.com/title/tt0088680/,Movie,7.6,97,1985,"Comedy, Crime, Drama, Thriller",100109,1985-10-11,"Martin Scorsese",,
44,tt0095730,2023-07-19,2023-07-19,,"The Night Before","The Night Before",https://www.imdb.com/title/tt0095730/,Movie,6.1,90,1988,"Comedy",4173,1988-04-15,"Thom Eberhardt",,
45,tt6628394,2023-07-26,2023-07-26,,"Bad Times at the El Royale","Bad Times at the El Royale",https://www.imdb.com/title/tt6628394/,Movie,7.1,141,2018,"Crime, Drama, Mystery, Thriller",180313,2018-10-12,"Drew Goddard",9,2019-01-04
46,tt0245062,2023-07-30,2023-07-30,,"The Magnet","Comme un aimant",https://www.imdb.com/title/tt0245062/,Movie,5.7,90,2000,"Crime, Drama",307,2000-05-31,"Akhenaton, Kamel Saleh",,
47,tt7222086,2023-08-23,2023-08-23,,"Made in Abyss","Made in Abyss",https://www.imdb.com/title/tt7222086/,TV Series,8.3,,2017,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",22017,2017-07-07,,,
48,tt2194499,2023-08-25,2023-08-25,,"About Time","About Time",https://www.imdb.com/title/tt2194499/,Movie,7.8,123,2013,"Comedy, Drama, Fantasy, Romance, Sci-Fi",440324,2013-11-08,"Richard Curtis",,
49,tt6296094,2023-08-25,2023-08-25,,"Lastman","Lastman",https://www.imdb.com/title/tt6296094/,TV Series,8.4,11,2016,"Animation, Action, Adventure, Comedy, Crime, Drama, Fantasy, Horror, Sport, Thriller",2082,2016-11-22,,,
50,tt3155654,2023-08-25,2023-08-25,,"Hide and Seek","Sum-bakk-og-jil",https://www.imdb.com/title/tt3155654/,Movie,6.3,107,2013,"Crime, Horror, Mystery, Thriller",2664,2013-08-14,"Jung Huh",,
51,tt7035004,2023-08-25,2023-08-25,,"The Swordsman","Geomgaek",https://www.imdb.com/title/tt7035004/,Movie,6.8,100,2020,"Action, Drama, History",6515,2021-02-16,"Jae-Hoon Choi",,
52,tt1534085,2023-08-25,2023-08-25,,"Beyond the Black Rainbow","Beyond the Black Rainbow",https://www.imdb.com/title/tt1534085/,Movie,5.9,110,2010,"Horror, Mystery, Sci-Fi",18601,2011-04-22,"Panos Cosmatos",,
53,tt0082307,2023-08-25,2023-08-25,,"The Beyond","...E tu vivrai nel terrore! L'aldilà",https://www.imdb.com/title/tt0082307/,Movie,6.5,87,1981,"Horror",28216,1983-11-11,"Lucio Fulci",,
54,tt0247199,2023-08-25,2023-08-25,,"The Believer","The Believer",https://www.imdb.com/title/tt0247199/,Movie,7.1,98,2001,"Drama",43985,2001-08-23,"Henry Bean",,
55,tt8296030,2023-08-26,2023-08-26,,"You Won't Be Alone","You Won't Be Alone",https://www.imdb.com/title/tt8296030/,Movie,6.4,108,2022,"Drama, Fantasy, Horror",14100,2022-05-16,"Goran Stolevski",,
56,tt0962826,2023-09-07,2023-09-07,,"Black Lagoon","Black Lagoon",https://www.imdb.com/title/tt0962826/,TV Series,7.9,25,2006,"Animation, Action, Adventure, Crime, Drama, Thriller",21617,2006-04-08,,,
57,tt15354916,2023-09-15,2023-09-15,,"Jawan","Jawan",https://www.imdb.com/title/tt15354916/,Movie,6.9,169,2023,"Action, Crime, Drama, Thriller",112453,2023-09-07,"Atlee",,
58,tt23139038,2023-09-25,2023-09-25,,"To Be Hero X","Tu Bian Ying Xiong X",https://www.imdb.com/title/tt23139038/,TV Series,8.5,,2025,"Animation, Action, Fantasy, Sci-Fi",10992,2025-04-05,,,
59,tt0107616,2023-09-26,2023-09-26,,"Much Ado About Nothing","Much Ado About Nothing",https://www.imdb.com/title/tt0107616/,Movie,7.3,111,1993,"Comedy, Drama, Romance",56071,1993-07-02,"Kenneth Branagh",,
60,tt11858890,2023-10-02,2023-10-02,,"The Creator","The Creator",https://www.imdb.com/title/tt11858890/,Movie,6.7,133,2023,"Action, Adventure, Drama, Sci-Fi, Thriller",203975,2023-09-29,"Gareth Edwards",,
61,tt16968450,2023-10-02,2023-10-02,,"The Wonderful Story of Henry Sugar","The Wonderful Story of Henry Sugar",https://www.imdb.com/title/tt16968450/,Short,7.4,40,2023,"Short, Adventure, Comedy, Drama",90079,2023-09-27,"Wes Anderson",,
62,tt14509110,2023-10-02,2023-10-02,,"No One Will Save You","No One Will Save You",https://www.imdb.com/title/tt14509110/,Movie,6.2,93,2023,"Horror, Mystery, Sci-Fi, Thriller",81078,2023-09-22,"Brian Duffield",,
63,tt13957560,2023-10-02,2023-10-02,,"Dumb Money","Dumb Money",https://www.imdb.com/title/tt13957560/,Movie,6.8,105,2023,"Biography, Comedy, Drama",64025,2023-09-29,"Craig Gillespie",,
64,tt4226388,2023-10-07,2023-10-07,,"Victoria","Victoria",https://www.imdb.com/title/tt4226388/,Movie,7.5,138,2015,"Crime, Drama, Romance, Thriller",67777,2015-06-11,"Sebastian Schipper",,
65,tt7826376,2023-10-18,2023-10-18,,"Upload","Upload",https://www.imdb.com/title/tt7826376/,TV Series,7.7,30,2020,"Comedy, Mystery, Sci-Fi",91066,2020-05-01,,,
66,tt15671028,2023-10-19,2023-10-19,,"No Hard Feelings","No Hard Feelings",https://www.imdb.com/title/tt15671028/,Movie,6.3,103,2023,"Comedy, Romance",220864,2023-06-23,"Gene Stupnitsky",,
67,tt11426232,2023-10-19,2023-10-19,,"Totally Killer","Totally Killer",https://www.imdb.com/title/tt11426232/,Movie,6.5,106,2023,"Comedy, Horror, Mystery, Sci-Fi",70376,2023-10-06,"Nahnatchka Khan",,
68,tt6636968,2023-10-26,2023-10-26,,"Tethered","Tethered",https://www.imdb.com/title/tt6636968/,Short,7.8,12,2017,"Short, Drama, Horror, Thriller",67,2017-04-28,"Daniel Robinette",,
69,tt0138704,2023-10-26,2023-10-26,,"Pi","Pi",https://www.imdb.com/title/tt0138704/,Movie,7.3,84,1998,"Drama, Horror, Mystery, Sci-Fi, Thriller",193550,1998-07-10,"Darren Aronofsky",7,2010-07-26
70,tt1437358,2023-10-26,2023-10-26,,"Sleep Tight","Mientras duermes",https://www.imdb.com/title/tt1437358/,Movie,7.2,102,2011,"Crime, Drama, Thriller",50318,2011-10-14,"Jaume Balagueró",,
71,tt0923600,2023-10-26,2023-10-26,,"Baghead","Baghead",https://www.imdb.com/title/tt0923600/,Movie,6.0,84,2008,"Comedy, Drama, Horror, Romance",5902,2008-01-22,"Jay Duplass, Mark Duplass",,
72,tt0097889,2023-10-26,2023-10-26,,"Miracle Mile","Miracle Mile",https://www.imdb.com/title/tt0097889/,Movie,7.0,87,1988,"Action, Drama, Romance, Thriller",15312,1989-05-19,"Steve De Jarnatt",,
73,tt14187728,2023-10-26,2023-10-26,,"Rust-Eater Bisco","Sabikui Bisco",https://www.imdb.com/title/tt14187728/,TV Series,6.9,24,2022,"Animation, Action, Adventure, Fantasy, Sci-Fi",1312,2022-01-10,,,
74,tt0365748,2023-10-26,2023-10-26,,"Shaun of the Dead","Shaun of the Dead",https://www.imdb.com/title/tt0365748/,Movie,7.8,99,2004,"Comedy, Horror",643559,2004-09-24,"Edgar Wright",,
75,tt0089907,2023-10-26,2023-10-26,,"The Return of the Living Dead","The Return of the Living Dead",https://www.imdb.com/title/tt0089907/,Movie,7.3,91,1985,"Comedy, Horror, Sci-Fi",78424,1985-08-16,"Dan O'Bannon",,
76,tt22866358,2023-10-31,2023-10-31,,"The Book of Clarence","The Book of Clarence",https://www.imdb.com/title/tt22866358/,Movie,5.7,129,2023,"Adventure, Comedy, Drama, History",8375,2024-01-12,"Jeymes Samuel",,
77,tt0373469,2023-11-02,2023-11-02,,"Kiss Kiss Bang Bang","Kiss Kiss Bang Bang",https://www.imdb.com/title/tt0373469/,Movie,7.4,103,2005,"Comedy, Crime, Mystery, Thriller",250951,2005-11-11,"Shane Black",,
78,tt21056886,2023-11-03,2023-11-03,,"Scavengers Reign","Scavengers Reign",https://www.imdb.com/title/tt21056886/,TV Mini Series,8.6,24,2023,"Animation, Adventure, Drama, Sci-Fi",37267,2023-10-19,,,
79,tt13623580,2023-11-04,2023-11-04,,"Reservation Dogs","Reservation Dogs",https://www.imdb.com/title/tt13623580/,TV Series,8.3,30,2021,"Comedy, Crime",28660,2021-08-09,,,
80,tt13405810,2023-11-10,2023-11-10,,"Quiz Lady","Quiz Lady",https://www.imdb.com/title/tt13405810/,Movie,6.7,99,2023,"Comedy",25603,2023-11-03,"Jessica Yu",,
81,tt16300962,2023-11-22,2023-11-22,,"When Evil Lurks","Cuando acecha la maldad",https://www.imdb.com/title/tt16300962/,Movie,6.9,99,2023,"Horror",63693,2023-10-27,"Demián Rugna",,
82,tt3011894,2023-12-06,2023-12-06,,"Wild Tales","Relatos salvajes",https://www.imdb.com/title/tt3011894/,Movie,8.1,122,2014,"Comedy, Drama, Thriller",240859,2014-08-21,"Damián Szifron",,
83,tt3165612,2023-12-08,2023-12-08,,"Sleeping with Other People","Sleeping with Other People",https://www.imdb.com/title/tt3165612/,Movie,6.5,101,2015,"Comedy, Drama, Romance",52047,2015-08-12,"Leslye Headland",,
84,tt26471649,2023-12-19,2023-12-19,,"The Killing Vote","Kookminsahyungtopyo",https://www.imdb.com/title/tt26471649/,TV Series,7.1,60,2023,"Drama, Thriller",2267,2023-08-10,,,
85,tt7160070,2023-12-19,2023-12-19,,"Along with the Gods: The Two Worlds","Singwa hamkke: Jwiwa beol",https://www.imdb.com/title/tt7160070/,Movie,7.2,139,2017,"Action, Adventure, Drama, Fantasy, Thriller",22484,2017-12-20,"Kim Yong-hwa",,
86,tt27954433,2024-01-02,2024-01-02,,"Remains","Remains",https://www.imdb.com/title/tt27954433/,Short,6.5,11,2023,"Short, Horror",146,2023-10-23,"Dylan Clark",,
87,tt4189492,2024-01-08,2024-01-08,,"Man Seeking Woman","Man Seeking Woman",https://www.imdb.com/title/tt4189492/,TV Series,7.8,21,2015,"Comedy, Fantasy, Romance",11734,2015-01-14,,,
88,tt0808146,2024-01-29,2024-01-29,,"American Pie Presents: The Naked Mile","American Pie Presents: The Naked Mile",https://www.imdb.com/title/tt0808146/,Video,5.1,97,2006,"Comedy",78451,2006-12-19,"Joe Nussbaum",,
89,tt0974959,2024-01-29,2024-01-29,,"American Pie Presents: Beta House","American Pie Presents: Beta House",https://www.imdb.com/title/tt0974959/,Video,5.3,85,2007,"Comedy",71398,2007-12-26,"Andrew Waller",,
90,tt1407050,2024-01-29,2024-01-29,,"American Pie Presents: The Book of Love","American Pie Presents: The Book of Love",https://www.imdb.com/title/tt1407050/,Video,4.7,93,2009,"Comedy",52461,2009-12-22,"John Putch",,
91,tt11771594,2024-01-29,2024-01-29,,"American Pie Presents: Girls' Rules","American Pie Presents: Girls' Rules",https://www.imdb.com/title/tt11771594/,Video,3.9,95,2020,"Comedy, Romance",13423,2020-10-06,"Mike Elliott",,
92,tt28480255,2024-02-08,2024-02-08,,"Ninja Kamui","Ninja Kamui",https://www.imdb.com/title/tt28480255/,TV Series,7.0,23,2024,"Animation, Action, Crime, Drama, Sci-Fi, Thriller",8614,2024-02-10,,,
93,tt22012992,2024-02-10,2024-02-10,,"House of Ninjas","Shinobi no Ie: House of Ninjas",https://www.imdb.com/title/tt22012992/,TV Series,7.1,60,2024,"Action, Drama, Thriller",9354,2024-02-15,,,
94,tt1660648,2024-02-10,2024-02-10,,"Ricky Stanicky","Ricky Stanicky",https://www.imdb.com/title/tt1660648/,Movie,6.2,113,2024,"Comedy",63339,2024-03-07,"Peter Farrelly",,
95,tt10268488,2024-02-10,2024-02-10,,"The Greatest Beer Run Ever","The Greatest Beer Run Ever",https://www.imdb.com/title/tt10268488/,Movie,6.8,126,2022,"Adventure, Comedy, Drama, War",37900,2022-09-30,"Peter Farrelly",,
96,tt0129387,2024-02-10,2024-02-10,,"There's Something About Mary","There's Something About Mary",https://www.imdb.com/title/tt0129387/,Movie,7.1,119,1998,"Comedy, Romance",350573,1998-07-15,"Bobby Farrelly, Peter Farrelly",,
97,tt0183505,2024-02-10,2024-02-10,,"Me, Myself & Irene","Me, Myself & Irene",https://www.imdb.com/title/tt0183505/,Movie,6.6,116,2000,"Comedy",265336,2000-06-23,"Bobby Farrelly, Peter Farrelly",,
98,tt14682800,2024-02-11,2024-02-11,,"Tuesday","Tuesday",https://www.imdb.com/title/tt14682800/,Movie,6.3,110,2023,"Drama, Fantasy",5146,2024-06-14,"Daina Oniunas-Pusic",,
99,tt14849194,2024-02-11,2024-02-11,,"The Holdovers","The Holdovers",https://www.imdb.com/title/tt14849194/,Movie,7.9,133,2023,"Comedy, Drama",272738,2023-11-10,"Alexander Payne",,
100,tt2788316,2024-02-26,2024-02-26,,"Shōgun","Shogun",https://www.imdb.com/title/tt2788316/,TV Series,8.6,60,2024,"Action, Adventure, Drama, History, War",250825,2024-02-27,,,
101,tt22074164,2024-03-07,2024-03-07,,"Jury Duty Presents","Jury Duty Presents",https://www.imdb.com/title/tt22074164/,TV Series,8.2,29,2023,"Comedy, Reality-TV",57451,2023-04-07,,,
102,tt0096163,2024-03-25,2024-03-25,,"The Vanishing","Spoorloos",https://www.imdb.com/title/tt0096163/,Movie,7.6,107,1988,"Mystery, Thriller",55771,1988-10-27,"George Sluizer",,
103,tt0353969,2024-04-08,2024-04-08,,"Memories of Murder","Salinui chueok",https://www.imdb.com/title/tt0353969/,Movie,8.1,131,2003,"Crime, Drama, Mystery, Thriller",273302,2003-05-02,"Bong Joon Ho",,
104,tt13016388,2024-04-10,2024-04-10,,"3 Body Problem","3 Body Problem",https://www.imdb.com/title/tt13016388/,TV Series,7.5,60,2024,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",184096,2024-03-21,,,
105,tt0069280,2024-04-21,2024-04-21,,"Slaughterhouse-Five","Slaughterhouse-Five",https://www.imdb.com/title/tt0069280/,Movie,6.8,104,1972,"Comedy, Drama, Sci-Fi, War",14942,1972-03-15,"George Roy Hill",,
106,tt13309742,2024-04-26,2024-04-26,,"Blue Eye Samurai","Blue Eye Samurai",https://www.imdb.com/title/tt13309742/,TV Series,8.7,45,2023,"Animation, Action, Adventure, Drama, Thriller",106555,2023-11-03,,,
107,tt0120611,2024-04-28,2024-04-28,,"Blade","Blade",https://www.imdb.com/title/tt0120611/,Movie,7.1,120,1998,"Action, Horror, Sci-Fi",334532,1998-08-21,"Stephen Norrington",7,2026-08-15
108,tt19231492,2024-05-06,2024-05-06,,"Dark Matter","Dark Matter",https://www.imdb.com/title/tt19231492/,TV Series,7.6,,2024,"Drama, Sci-Fi, Thriller",76926,2024-05-08,,,
109,tt23561236,2024-05-07,2024-05-07,,"American Fiction","American Fiction",https://www.imdb.com/title/tt23561236/,Movie,7.5,117,2023,"Comedy, Drama",156620,2023-12-22,"Cord Jefferson",,
110,tt0044741,2024-05-14,2024-05-14,,"Ikiru","Ikiru",https://www.imdb.com/title/tt0044741/,Movie,8.3,143,1952,"Drama",103574,1956-03-25,"Akira Kurosawa",,
111,tt2084970,2024-05-20,2024-05-20,,"The Imitation Game","The Imitation Game",https://www.imdb.com/title/tt2084970/,Movie,8.0,114,2014,"Biography, Drama, Thriller, War",883564,2014-12-25,"Morten Tyldum",,
112,tt27503384,2024-06-17,2024-06-17,,"Perfect Days","Perfect Days",https://www.imdb.com/title/tt27503384/,Movie,7.9,124,2023,"Drama",110319,2023-12-21,"Wim Wenders",,
113,tt0079219,2024-07-12,2024-07-12,,"Going in Style","Going in Style",https://www.imdb.com/title/tt0079219/,Movie,7.1,97,1979,"Comedy, Crime, Drama",4559,1979-12-25,"Martin Brest",,
114,tt5092380,2024-07-30,2024-07-30,,"A Breath Away","Dans la brume",https://www.imdb.com/title/tt5092380/,Movie,5.9,89,2018,"Action, Drama, Mystery, Sci-Fi, Thriller",8459,2019-02-01,"Daniel Roby",,
115,tt1366344,2024-09-25,2024-09-25,,"The Sitter","The Sitter",https://www.imdb.com/title/tt1366344/,Movie,5.6,81,2011,"Comedy",75237,2011-12-09,"David Gordon Green",,
116,tt22173666,2024-09-28,2024-09-28,,"Azrael","Azrael",https://www.imdb.com/title/tt22173666/,Movie,5.3,86,2024,"Action, Horror",15206,2024-09-27,"E.L. Katz",,
117,tt0120654,2024-10-02,2024-10-02,,"Dirty Work","Dirty Work",https://www.imdb.com/title/tt0120654/,Movie,6.4,82,1998,"Comedy",33255,1998-06-12,"Bob Saget",,
118,tt26736843,2024-10-09,2024-10-09,,"The Watchers","The Watchers",https://www.imdb.com/title/tt26736843/,Movie,5.7,102,2024,"Fantasy, Horror, Mystery, Thriller",72880,2024-06-07,"Ishana Shyamalan",,
119,tt0319343,2024-10-21,2024-10-21,,"Elf","Elf",https://www.imdb.com/title/tt0319343/,Movie,7.1,97,2003,"Adventure, Comedy, Family, Fantasy, Romance",348662,2003-11-07,"Jon Favreau",,
120,tt11280740,2024-10-23,2024-10-23,,"Severance","Severance",https://www.imdb.com/title/tt11280740/,TV Series,8.6,50,2022,"Drama, Mystery, Sci-Fi, Thriller",402314,2022-02-18,,,
121,tt15552142,2024-11-28,2024-11-28,,"Caddo Lake","Caddo Lake",https://www.imdb.com/title/tt15552142/,Movie,6.8,103,2024,"Drama, Mystery, Sci-Fi, Thriller",59089,2024-10-10,"Logan George, Celine Held",,
122,tt14577874,2024-11-28,2024-11-28,,"It's What's Inside","It's What's Inside",https://www.imdb.com/title/tt14577874/,Movie,6.6,103,2024,"Comedy, Mystery, Sci-Fi, Thriller",53580,2024-10-04,"Greg Jardin",,
123,tt22375054,2024-11-28,2024-11-28,,"Strange Darling","Strange Darling",https://www.imdb.com/title/tt22375054/,Movie,7.0,97,2023,"Horror, Thriller",71572,2024-08-23,"JT Mollner",,
124,tt0281190,2024-11-28,2024-11-28,,"Shottas","Shottas",https://www.imdb.com/title/tt0281190/,Movie,6.1,95,2002,"Action, Crime, Drama",5247,2002-02-27,"Cess Silvera",,
125,tt4122068,2024-12-13,2024-12-13,,"Humans","Humans",https://www.imdb.com/title/tt4122068/,TV Series,7.9,42,2015,"Drama, Sci-Fi",46359,2015-06-28,,,
126,tt13623772,2025-01-11,2025-01-11,,"Iwájú","Iwájú",https://www.imdb.com/title/tt13623772/,TV Mini Series,7.1,136,2024,"Animation, Action, Adventure, Drama, Family, Sci-Fi",1384,2024-02-28,,,
